,screen_name,created_at,full_text
148,outofcontextfef,2019-05-26 18:57:58,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
149,MonicaaaHdez,2019-05-26 18:56:30,RT @NereaMoran: Nos lo dijeron y no hicimos ni caso... #GameOfTrones #GOT8x06 #juegodetronos8x06 #GameOfThronesFinale https://t.co/O55yzRYy 
150,ario,2019-05-26 18:56:00,"RT @FoldableHuman: Say what you will about the #GameOfThronesFinale, the John Hughes homage was a bold choice to end on. https://t.co/kKJrJ "
151,Mistercoolskint,2019-05-26 18:54:27,"RT @NorbertElekes: Greatest TV shows of all time

1. Breaking Bad
2. Game of Thrones
3. The Simpsons
4. Friends
5. Seinfeld
6. Star Trek
7. "
152,WulffKodjoe,2019-05-26 18:54:16,RT @evilfunnyvl: Me after #GameOfThronesFinale https://t.co/dNffaKOtkz
153,LSAesling,2019-05-26 18:54:00,RT @LordSnow: #GameOfThronesFinale spoilers without context!    https://t.co/TGnzELNB2q
154,adriandanielBK,2019-05-26 18:53:36,"RT @CasualNerdom: Special Episode on #GameOfThronesFinale #gameofthrones #podcastshow 

What did you guys what to see?

https://t.co/ybC5gd "
155,Shumstaehjjk,2019-05-26 18:53:34,"Tyrion is right Sansa and Arya will never bend the knee if it's not for Jon. 
#GOT #GameOfThrones #GameOfThronesFinale"
156,WulffKodjoe,2019-05-26 18:53:32,"RT @IsaacNervoso: Game Of Thrones started like a Marvel movie and has finished like a DC movie.

#GameOfThronesFinale #GameofThrones https: "
157,CasualNerdom,2019-05-26 18:53:02,"RT @CasualNerdom: Special Episode on #GameOfThronesFinale #gameofthrones #podcastshow 

What did you guys what to see?

https://t.co/ybC5gd "
158,Fer_futsal_11,2019-05-26 18:52:46,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
